reaction,unique_aer_id_number,original_receive_date,number_of_animals_affected,primary_reporter,number_of_animals_treated,drug,onset_date,report_id,type_of_information,receiver.organization,receiver.street_address,receiver.city,receiver.state,receiver.postal_code,receiver.country,health_assessment_prior_to_exposure.assessed_by,animal.species,animal.gender,animal.age.min,animal.age.max,animal.age.unit,animal.age.qualifier,animal.weight.min,animal.weight.max,animal.weight.unit,animal.weight.qualifier,animal.breed.is_crossbred,animal.breed.breed_component,animal.reproductive_status,animal.female_animal_physiological_status,outcome
"[{'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '1043', 'veddra_term_name': 'Weight loss'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}, {'veddra_version': '11', 'veddra_term_code': '2049', 'veddra_term_name': 'Elevated AST'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}, {'veddra_version': '11', 'veddra_term_code': '2055', 'veddra_term_name': 'Elevated SAP'}]",USA-USFDACVM-2015-US-068318,19870625,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870625,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,5.00,,Year,Measured,27.220,,Kilogram,Measured,false,Crossbred Canine/dog,,NOT APPLICABLE,
"[{'veddra_version': '2', 'veddra_term_code': '99112', 'veddra_term_name': 'INEFFECTIVE, HOOKS'}, {'veddra_version': '2', 'veddra_term_code': '99158', 'veddra_term_name': 'INEFFECTIVE, WHIPS'}]",USA-USFDACVM-2015-US-068310,19870615,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870615,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,11.00,,Year,Measured,30.840,,Kilogram,Measured,false,Retriever - Golden,Neutered,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '981', 'veddra_term_name': 'Death by euthanasia'}, {'veddra_version': '11', 'veddra_term_code': '720', 'veddra_term_name': 'Renal failure'}, {'veddra_version': '11', 'veddra_term_code': '2047', 'veddra_term_name': 'Elevated BUN'}, {'veddra_version': '11', 'veddra_term_code': '2048', 'veddra_term_name': 'Elevated creatinine'}]",USA-USFDACVM-2015-US-031321,19870501,1,Other,1,"[{'route': 'Intramuscular', 'brand_name': 'MSK', 'dosage_form': 'Solution', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N038292'}, 'atc_vet_code': 'QJ01GB03', 'active_ingredients': [{'name': 'Gentamicin Sulfate', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19900427,N038292,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,10.00,,Year,Measured,8.160,,Kilogram,Measured,false,Sheepdog - Shetland,Neutered,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}]",USA-USFDACVM-2015-US-063470,19870408,3,Other,3,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Suspension', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N128409'}, 'atc_vet_code': 'QP54AA01', 'active_ingredients': [{'name': 'Ivermectin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870408,N128409,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Mixed,.00,.00,C17998,Measured,34.020,34.020,Kilogram,Measured,false,Borzoi,,,"[{'medical_status': 'Died', 'number_of_animals_affected': '3'}]"
"[{'veddra_version': '11', 'veddra_term_code': '775', 'veddra_term_name': 'Abortion'}]",USA-USFDACVM-2015-US-046711,19870513,2,Other,16,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N091826'}, 'atc_vet_code': 'QP52AE01', 'active_ingredients': [{'name': 'Levamisole Hydrochloride', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870513,N091826,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cattle,Female,4.00,4.00,Year,Measured,498.950,498.950,Kilogram,Measured,false,Crossbred Bovine/Cattle,,,
"[{'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '2', 'veddra_term_code': '99632', 'veddra_term_name': 'PR-LYMPH NODE(S), LESION(S)'}, {'veddra_version': '2', 'veddra_term_code': '99623', 'veddra_term_name': 'PR-INTEST, LESION(S)'}, {'veddra_version': '11', 'veddra_term_code': '302', 'veddra_term_name': 'Diarrhoea'}, {'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '996', 'veddra_term_name': 'Anorexia'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}]",USA-USFDACVM-2015-US-068314,19870625,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870625,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,3.00,,Month,Measured,3.630,,Kilogram,Measured,false,Terrier - Scottish,,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '652', 'veddra_term_name': 'Circling'}, {'veddra_version': '11', 'veddra_term_code': '1027', 'veddra_term_name': 'Malaise'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}]",USA-USFDACVM-2015-US-052454,19870427,2,Other,2,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Capsule', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N103953'}, 'atc_vet_code': 'QP52A', 'active_ingredients': [{'name': 'Dichlorophene, Toluene', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870424,N103953,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Unknown,.00,.00,C17998,Measured,4.540,4.540,Kilogram,Measured,false,Lhasa Apso,,,
"[{'veddra_version': '2', 'veddra_term_code': '99623', 'veddra_term_name': 'PR-INTEST, LESION(S)'}, {'veddra_version': '2', 'veddra_term_code': '99668', 'veddra_term_name': 'PR-PLEURAL EFFUSION'}, {'veddra_version': '11', 'veddra_term_code': '91', 'veddra_term_name': 'Injection site swelling'}, {'veddra_version': '11', 'veddra_term_code': '93', 'veddra_term_name': 'Injection site pain'}, {'veddra_version': '11', 'veddra_term_code': '103', 'veddra_term_name': ""Injection site weeping (see also 'skin')""}, {'veddra_version': '11', 'veddra_term_code': '1032', 'veddra_term_name': 'Fever'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '2', 'veddra_term_code': '99654', 'veddra_term_name': 'PR-MUSCLE(S), LESION(S)'}]",USA-USFDACVM-2015-US-051543,19870403,1,Other,1,"[{'route': 'Intramuscular', 'brand_name': 'MSK', 'dosage_form': 'Solution', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N101479'}, 'atc_vet_code': 'QM01AG90', 'active_ingredients': [{'name': 'Flunixin Meglumine', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870331,N101479,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Female,.00,,C17998,Measured,,,,Unknown,false,Arab,,,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '642', 'veddra_term_name': 'Convulsion'}]",USA-USFDACVM-2015-US-068302,19870604,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870604,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,21.00,,Month,Measured,,,,Unknown,false,Borzoi,,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '91', 'veddra_term_name': 'Injection site swelling'}, {'veddra_version': '11', 'veddra_term_code': '839', 'veddra_term_name': 'Dyspnoea'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '11', 'veddra_term_code': '1032', 'veddra_term_name': 'Fever'}]",USA-USFDACVM-2015-US-016877,19870420,15,Other,15,"[{'route': 'Unknown', 'brand_name': 'MSK', 'dosage_form': 'Suspension', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N012123'}, 'atc_vet_code': 'QJ01FA01', 'active_ingredients': [{'name': 'Erythromycin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870420,N012123,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cattle,Female,.00,.00,C17998,Measured,657.710,657.710,Kilogram,Measured,false,Holstein-Friesian also known as Holstein,,,"[{'medical_status': 'Died', 'number_of_animals_affected': '3'}]"
"[{'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '11', 'veddra_term_code': '996', 'veddra_term_name': 'Anorexia'}, {'veddra_version': '11', 'veddra_term_code': '2049', 'veddra_term_name': 'Elevated AST'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}, {'veddra_version': '11', 'veddra_term_code': '2052', 'veddra_term_name': 'Elevated total bilirubin'}, {'veddra_version': '11', 'veddra_term_code': '2055', 'veddra_term_name': 'Elevated SAP'}, {'veddra_version': '2', 'veddra_term_code': '99226', 'veddra_term_name': 'CHLORIDE LOW, BLOOD'}, {'veddra_version': '11', 'veddra_term_code': '2046', 'veddra_term_name': 'Hyperphosphataemia'}, {'veddra_version': '2', 'veddra_term_code': '99363', 'veddra_term_name': 'URIC ACID HIGH, BLD'}, {'veddra_version': '2', 'veddra_term_code': '99629', 'veddra_term_name': 'PR-LIVER, LESION(S)'}]",USA-USFDACVM-2015-US-068274,19870501,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870501,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,3.00,,Year,Measured,30.390,,Kilogram,Measured,false,Retriever - Golden,Neutered,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '1205', 'veddra_term_name': 'Skin petechiae'}]",USA-USFDACVM-2015-US-059892,19870410,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Capsule', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N120161'}, 'atc_vet_code': 'QJ01FF01', 'active_ingredients': [{'name': 'Clindamycin Hydrochloride', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870410,N120161,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,6.00,,Year,Measured,,,,Unknown,false,Sheepdog - Beauce (Beauceron),,,
"[{'veddra_version': '11', 'veddra_term_code': '195', 'veddra_term_name': 'Cardiac arrest'}, {'veddra_version': '11', 'veddra_term_code': '830', 'veddra_term_name': 'Apnoea'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}]",USA-USFDACVM-2015-US-032864,19870529,4,Other,100,"[{'route': 'Unknown', 'brand_name': 'MSK', 'dosage_form': 'Injection', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N043304'}, 'atc_vet_code': 'QN01AX03', 'active_ingredients': [{'name': 'Ketamine Hydrochloride', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870529,N043304,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cat,Unknown,.00,.00,C17998,Measured,,,,Unknown,false,Domestic (unspecified),,,"[{'medical_status': 'Died', 'number_of_animals_affected': '2'}]"
"[{'veddra_version': '11', 'veddra_term_code': '263', 'veddra_term_name': 'Abdominal pain'}, {'veddra_version': '11', 'veddra_term_code': '304', 'veddra_term_name': 'Loose stool'}, {'veddra_version': '11', 'veddra_term_code': '996', 'veddra_term_name': 'Anorexia'}]",USA-USFDACVM-2015-US-070339,19870518,4,Other,4,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Paste', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N138954'}, 'atc_vet_code': 'QP52AC59', 'active_ingredients': [{'name': 'Mebendazole, Trichlorfon', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870511,N138954,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Unknown,.00,.00,C17998,Measured,,,,Unknown,false,Mixed (Horse),,,
"[{'veddra_version': '11', 'veddra_term_code': '636', 'veddra_term_name': 'Head pressing'}, {'veddra_version': '11', 'veddra_term_code': '981', 'veddra_term_name': 'Death by euthanasia'}, {'veddra_version': '11', 'veddra_term_code': '113', 'veddra_term_name': 'Aggression'}, {'veddra_version': '11', 'veddra_term_code': '116', 'veddra_term_name': 'Behavioural disorder NOS'}, {'veddra_version': '11', 'veddra_term_code': '163', 'veddra_term_name': 'Leucocytosis'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}, {'veddra_version': '11', 'veddra_term_code': '2055', 'veddra_term_name': 'Elevated SAP'}]",USA-USFDACVM-2015-US-068284,19870521,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870521,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,14.00,,Year,Measured,27.220,,Kilogram,Measured,false,Crossbred Canine/dog,Neutered,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '687', 'veddra_term_name': 'Trembling'}, {'veddra_version': '11', 'veddra_term_code': '698', 'veddra_term_name': 'Paresis'}, {'veddra_version': '11', 'veddra_term_code': '996', 'veddra_term_name': 'Anorexia'}, {'veddra_version': '11', 'veddra_term_code': '1023', 'veddra_term_name': 'Weakness'}]",USA-USFDACVM-2015-US-063472,19870430,5,Other,5,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Suspension', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N128409'}, 'atc_vet_code': 'QP54AA01', 'active_ingredients': [{'name': 'Ivermectin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870430,N128409,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Goat,Mixed,14.00,14.00,Day,Measured,4.540,4.540,Kilogram,Measured,false,Nubian,,,
"[{'veddra_version': '11', 'veddra_term_code': '658', 'veddra_term_name': 'Recumbency'}, {'veddra_version': '11', 'veddra_term_code': '1023', 'veddra_term_name': 'Weakness'}]",USA-USFDACVM-2015-US-070333,19870421,8,Other,8,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Paste', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N138954'}, 'atc_vet_code': 'QP52AC59', 'active_ingredients': [{'name': 'Mebendazole, Trichlorfon', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870421,N138954,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Unknown,.00,.00,C17998,Measured,,,,Unknown,false,Horse (unknown),,,
"[{'veddra_version': '11', 'veddra_term_code': '1039', 'veddra_term_name': 'Lack of efficacy'}]",USA-USFDACVM-2015-US-036463,19870605,156,Other,2600,"[{'route': 'Oral', 'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'atc_vet_code': 'QJ01XX10', 'active_ingredients': [{'name': 'Bacitracin Methylene Disalicylate', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870605,N046592,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Pig,Mixed,.00,.00,C17998,Measured,,,,Unknown,false,Pig (unknown),,,"[{'medical_status': 'Died', 'number_of_animals_affected': '156'}]"
"[{'veddra_version': '11', 'veddra_term_code': '293', 'veddra_term_name': 'Hypersalivation'}, {'veddra_version': '11', 'veddra_term_code': '654', 'veddra_term_name': 'Ataxia'}, {'veddra_version': '2', 'veddra_term_code': '99942', 'veddra_term_name': 'DEATH-SLAUGHTERED'}]",-USFDACVM-2015-FN-001494,19870618,1,Other,1,"[{'route': 'Subcutaneous', 'brand_name': 'MSK', 'dosage_form': 'Suspension', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N128409'}, 'atc_vet_code': 'QP54AA01', 'active_ingredients': [{'name': 'Ivermectin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870618,N128409,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cattle,Unknown,.00,,C17998,Measured,,,,Unknown,false,Cattle (unknown),,,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}]",-USFDACVM-2015-FN-000372,19870616,3,Other,10,"[{'route': 'Intramuscular', 'brand_name': 'MSK', 'dosage_form': 'Solution', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N012965'}, 'atc_vet_code': 'QJ01FA90', 'active_ingredients': [{'name': 'Tylosin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870616,N012965,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Pig,Male,4.00,4.00,Month,Measured,56.700,56.700,Kilogram,Measured,false,Crossbred Porcine/Pig,Neutered,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '3'}]"
"[{'veddra_version': '11', 'veddra_term_code': '160', 'veddra_term_name': 'Thrombocytopenia'}, {'veddra_version': '11', 'veddra_term_code': '177', 'veddra_term_name': 'Haemorrhage NOS'}]",-USFDACVM-2015-FN-001040,19870511,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Powder', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N102987'}, 'atc_vet_code': 'QP52AC09', 'active_ingredients': [{'name': 'Mebendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870511,N102987,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,6.00,,Year,Measured,30.840,,Kilogram,Measured,false,Borzoi,,,
"[{'veddra_version': '2', 'veddra_term_code': '99112', 'veddra_term_name': 'INEFFECTIVE, HOOKS'}]",USA-USFDACVM-2015-US-068308,19870611,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870611,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,6.00,,Month,Measured,35.380,,Kilogram,Measured,false,Sheepdog - Beauce (Beauceron),,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '263', 'veddra_term_name': 'Abdominal pain'}, {'veddra_version': '11', 'veddra_term_code': '293', 'veddra_term_name': 'Hypersalivation'}, {'veddra_version': '11', 'veddra_term_code': '302', 'veddra_term_name': 'Diarrhoea'}]",USA-USFDACVM-2015-US-070335,19870428,1,Other,2,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Paste', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N138954'}, 'atc_vet_code': 'QP52AC59', 'active_ingredients': [{'name': 'Mebendazole, Trichlorfon', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870428,N138954,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Male,19.00,,Year,Measured,453.590,,Kilogram,Measured,false,Thoroughbred,Neutered,NOT APPLICABLE,
